ft_id,"ft_name","ft_cleanURL",ft_rating,ft_phone,"ft_MF_open","ft_MF_close","ft_Sa_open","ft_Sa_close","ft_Su_open","ft_Su_close","ft_genreBig","ft_genreSmall1","ft_genreSmall2","ft_location","ft_blurb",ft_long,ft_lat,"ft_intersection"
1,"Aladdin Middle Eastern","Aladdin-Middle-Eastern",3.4,0,"","","","","","","Middle-Eastern",NULL,NULL,"33rd and Spruce",NULL,39.949946,-75.192364,"Hospital Parking Lot"
2,"Ali Baba","Ali-Baba",4.15,0,"8","16","","","","","Middle-Eastern",NULL,NULL,"37th and Walnut","Ali Baba has Mediterranean food that's comparable in quality to other trucks on campus like Rami's.  Its prices are similar to other trucks of the genre and it's location is a short walk from most of campus.  The proprietor does not talk much, but is friendly and even offered me a free falafel ball while I waited for my food. -AG",39.953963,-75.19755,"Next to Pottruck"
3,"B&amp;J&#39;s Cart","BJs-Cart",0,0,"5","15.5","5","15.5","","","American","Sandwiches",NULL,"33rd and Spruce",NULL,39.949906,-75.192471,"Hospital Parking Lot"
4,"Bento Box","Bento-Box",3.6428571428571,0,"11","17","","","","","Asian","Japanese",NULL,"37th and Walnut","Bento Box serves surprisingly authentic Japanese food. The Teriyaki and Hibachi are not as greasy as their Chinese counterparts while the Katsu and Yakiudon are unique enough to warrant trying. If you like lots of rice, the Tempura (7 pieces) is for you. The sushi is what brings in customers though, and with a varied assortment of fresh-tasting fish, classics like the California Roll, exotics like caviar (fish eggs), and even American concoctions like the Philly roll (lots of cream cheese); it doesn't dissappoint. Even with sparse lines, the wait isn't quick - but then again you don't want really your sushi pre-made, do you? -MY",39.953899,-75.197567,"Next to Pottruck"
5,"Bui&#39;s Lunch Truck","Buis",3.9833333333333,8566307269,"7","18","7","16","7","16","American","Sandwiches",NULL,"38th and Spruce","Bui's has become the quintessential college meeting place on weekend mornings as students from all over campus stop by to get Bui's famous <!--<a href=/menu/index/BuisLunchTruck/5/0 target=_blank>--><strong>Hangover Special</strong>.  Operated by a quiet, but friendly Vietnamese couple, Bui's prices are usually reasonable but may be inflated over other similar trucks (like neighboring <a href=/truck/40>Steak Queen</a>) as it appears that this is the only truck known to everyone on campus.  Still, Bui's is a great stop for breakfast and lunch sandwiches and is open seven days a week starting at 7am.  -AG",39.951565,-75.199292,"Diagonally across from Wawa"
6,"Casablanca","Casablanca",3.8,0,"10.5","16","","","","","Middle-Eastern",NULL,NULL,"35th/36th and Spruce","Casablanca continues the tradition started by Rosa&#39;s of having Asian women cooking non-Asian food.  This wonderful Mediterranean food truck serves the same food as Rami&#39;s and Magic Carpet without the long walk or the long wait, respectively.  It&#39;s prices are slightly higher but still competitive and the food gets prepared very quickly.  The proprietor&#39;s falafel-wrapping job could have been better, but I would still recommend stopping by if you were in a hurry and on Spruce. -AG",39.950952,-75.196141,"Across from Quad"
7,"Chris&#39;s","Chris",3.2,0,"4","15.5","","","","","American","Sandwiches",NULL,"33rd and Spruce",NULL,39.949898,-75.192417,"Hospital Parking Lot"
8,"Curry on Wheels","Curry-on-Wheels",2.96,0,"11","20","","","","","Asian","Indian",NULL,"37th and Walnut","For being the only Indian food truck on campus, I expected the food to rival the (relatively) amazing food at the local Indian restaurants.  Instead, the food takes a long time, doesn't taste good, and the service is anything but friendly.  Go to Tandoor or New Delhi instead. -AG",39.954122,-75.197536,"Next to Pottruck"
9,"Double Dragon Chinese Food","Double-Dragon-Chinese",4.0444444444444,0,"11","21","","","","","Asian","Chinese",NULL,"33rd and Spruce",NULL,39.949014,-75.192708,"Next to Penn Tower"
10,"Dulett&#39;s Jamaica Wings","Duletts-Jamaica-Wings",3.84,2155201146,"","","","","","","Jamaican",NULL,NULL,"38th and Walnut/Locust",NULL,39.952257,-75.19914,"Next to Commons"
